date,expiry,last_settlement,option_type,strike,ticker
2020-05-13,2020-05-28,28.712871287128714,put,1386.8500000000001,RELIANCE
2020-05-14,2020-05-28,28.712871287128714,put,1386.8500000000001,RELIANCE
2020-05-15,2020-05-28,28.712871287128714,put,1386.8500000000001,RELIANCE
2020-05-18,2020-05-28,28.712871287128714,put,1386.8500000000001,RELIANCE
2020-05-19,2020-05-28,28.712871287128714,put,1386.8500000000001,RELIANCE
2020-05-20,2020-05-28,28.712871287128714,put,1386.8500000000001,RELIANCE
2020-05-21,2020-05-28,28.712871287128714,put,1386.8500000000001,RELIANCE
2020-05-22,2020-05-28,28.712871287128714,put,1386.8500000000001,RELIANCE
2020-05-26,2020-05-28,28.712871287128714,put,1386.8500000000001,RELIANCE
2020-05-27,2020-05-28,28.712871287128714,put,1386.8500000000001,RELIANCE
2021-03-30,2021-04-29,40.2,call,2100.0,RELIANCE
2021-03-30,2021-04-29,9.95,call,375.0,SBIN
2021-03-30,2021-04-29,5.05,call,1180.0,INDUSINDBK
2021-03-30,2021-04-29,12.35,call,610.0,ICICIBANK
2021-03-30,2021-04-29,17.5,put,1260.0,INFY
2021-03-30,2021-04-29,19.95,call,730.0,AXISBANK
2021-03-30,2021-04-29,12.85,call,540.0,BHARTIARTL
2021-03-30,2021-04-29,152.6,call,5400.0,BAJFINANCE
2021-03-30,2021-04-29,61.5,call,3220.0,TCS
2021-03-30,2021-04-29,34.5,call,1860.0,KOTAKBANK
2021-03-30,2021-04-29,39.25,put,940.0,ADANIENT
2023-01-16,2023-01-25,2.3,put,3100.0,TCS
