AnnVol,CAGR,Calmar,MDD,MDD_peak,MDD_recovery,MDD_trough,Sharpe,Sortino,end,start,ticker
0.15822240839041707,0.08792546823525149,0.3198314886638335,-0.27491185624836223,2020-02-20,2020-04-30,2020-03-23,0.21208076966439585,0.19750664825561084,3122576.8033444565,1818181.8181818181,RELIANCE
0.19689273932999796,0.13149583435942347,0.30109139283649444,-0.4367306322530161,2020-02-27,2021-01-07,2020-05-22,0.4101514852357258,0.3396543033562885,4017504.4928898197,1818181.8181818181,SBIN
0.2630832661482393,1.2176312608191964e-05,2.1673991157747274e-05,-0.5617937425354902,2020-02-06,2021-09-16,2020-03-25,-0.11469235443803304,-0.10835006532153522,1818323.8987898182,1818181.8181818181,INDUSINDBK
0.1599930793809016,0.09815679588137716,0.3351003197963782,-0.2929176431136251,2020-03-03,2020-11-13,2020-03-23,0.2720551933025404,0.22639712387715216,3315902.1308618193,1818181.8181818181,ICICIBANK
0.18400240037211704,0.02339999851081398,0.07363738905028402,-0.31777333244169015,2025-01-10,,2026-06-30,-0.1327689148285924,-0.12368187455183388,2109132.9936218187,1818181.8181818181,INFY
0.24292353984793638,0.14077289407151294,0.29302582407154587,-0.48041122149405335,2020-03-03,2021-01-08,2020-03-24,0.410184386040342,0.3762958016744172,4233644.683378068,1818181.8181818181,AXISBANK
0.13341495147601254,0.1310634038064591,0.6139462255256897,-0.21347700882799048,2020-09-02,2020-12-28,2020-10-19,0.5222812450044566,0.47805499516872246,4007661.2637773966,1818181.8181818181,BHARTIARTL
0.16601813402661347,0.14445725165705792,0.43264954466495636,-0.3338897577459039,2020-03-03,2020-11-18,2020-05-26,0.5220290790251403,0.46188255689950014,4322165.463063068,1818181.8181818181,BAJFINANCE
0.14703063314525258,0.04964992184719974,0.11587864967205892,-0.42846479474614996,2024-12-13,,2026-06-30,-0.03198395031156053,-0.029433200033521782,2481365.3576943194,1818181.8181818181,TCS
0.15578492699839028,0.10164192905804814,0.490700964663563,-0.20713619164726205,2020-03-05,2020-10-27,2020-03-23,0.2953668227784089,0.2731566029921753,3384019.669661818,1818181.8181818181,KOTAKBANK
0.3399723377096316,0.12667666906757646,0.21385660405007412,-0.5923439663238801,2023-01-09,2024-05-31,2023-02-27,0.34195028157532115,0.3048405721399712,3908953.2634918187,1818181.8181818181,ADANIENT
