scenario,slippage_bps,strike_otm,wheel_AnnVol,wheel_CAGR,wheel_Calmar,wheel_MDD,wheel_MDD_peak,wheel_MDD_recovery,wheel_MDD_trough,wheel_Sharpe,wheel_Sortino,wheel_end,wheel_start
base,25,0.05,0.12050567492885214,0.09838752722040933,0.35472372424570936,-0.27736382005354243,2020-02-13,2020-11-10,2020-03-23,0.3161375015093563,0.2781050622879349,36787835.37230664,20000000.0
strike_3pct,25,0.03,0.12214759113510036,0.09360638778913044,0.34265221049368444,-0.27318191718146156,2020-02-12,2020-11-06,2020-03-23,0.27698623017559104,0.24515245470082317,35760258.84161101,20000000.0
strike_8pct,25,0.08,0.10975434261977246,0.07254534395185885,0.26859796947270037,-0.2700889515072532,2020-02-12,2020-11-06,2020-03-23,0.11438842384614137,0.10060094585843647,31517723.535104882,20000000.0
slippage_10bps,10,0.05,0.12045313487418519,0.09857124707659581,0.35543977260421294,-0.2773219393946559,2020-02-13,2020-11-10,2020-03-23,0.3176398183872463,0.2794301458794407,36827814.08037414,20000000.0
slippage_50bps,50,0.05,0.12053671468881945,0.09810101429327145,0.35360174390685045,-0.277433626908566,2020-02-13,2020-11-10,2020-03-23,0.31387717095717177,0.2761450292859213,36725561.46312913,20000000.0
